estado,municipio,bairros,ano,periodo,levantamento,timestamp,mosquito,longitude,latitude,zona,variable,value
AMAZONAS,MANAUS,BETANIA,2018,outubro,2,1/10/2018,Aegypti,-59.99614699656964,-3.134141320529946,SUL,iip,2.98
AMAZONAS,MANAUS,BETANIA,2018,janeiro,1,1/1/2018,Aegypti,-59.99614699656964,-3.134141320529946,SUL,iip,2.98
AMAZONAS,MANAUS,BETANIA,2019,fevereiro,1,1/2/2019,Aegypti,-59.99614699656964,-3.134141320529946,SUL,iip,2.11
AMAZONAS,MANAUS,BETANIA,2019,novembro,2,1/11/2019,Aegypti,-59.99614699656964,-3.134141320529946,SUL,iip,1.8
AMAZONAS,MANAUS,BETANIA,2020,fevereiro,1,1/2/2020,Aegypti,-59.99614699656964,-3.134141320529946,SUL,iip,3.52
AMAZONAS,MANAUS,CACHOEIRINHA,2016,agosto,2,1/8/2016,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,0.0
AMAZONAS,MANAUS,CACHOEIRINHA,2017,outubro,2,1/10/2017,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,0.96
AMAZONAS,MANAUS,CACHOEIRINHA,2017,fevereiro,1,1/2/2017,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,0.7
AMAZONAS,MANAUS,CACHOEIRINHA,2018,outubro,2,1/10/2018,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,1.82
AMAZONAS,MANAUS,CACHOEIRINHA,2018,janeiro,1,1/1/2018,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,1.82
AMAZONAS,MANAUS,CACHOEIRINHA,2019,fevereiro,1,1/2/2019,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,1.06
AMAZONAS,MANAUS,CACHOEIRINHA,2019,novembro,2,1/11/2019,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,0.96
AMAZONAS,MANAUS,CACHOEIRINHA,2020,fevereiro,1,1/2/2020,Aegypti,-60.005787357976075,-3.1265343762969713,SUL,iip,1.67
AMAZONAS,MANAUS,CENTRO,2016,agosto,2,1/8/2016,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,0.36
AMAZONAS,MANAUS,CENTRO,2017,outubro,2,1/10/2017,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,0.63
AMAZONAS,MANAUS,CENTRO,2017,fevereiro,1,1/2/2017,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,0.81
AMAZONAS,MANAUS,CENTRO,2018,outubro,2,1/10/2018,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,2.28
AMAZONAS,MANAUS,CENTRO,2018,janeiro,1,1/1/2018,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,2.28
AMAZONAS,MANAUS,CENTRO,2019,fevereiro,1,1/2/2019,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,1.54
AMAZONAS,MANAUS,CENTRO,2019,novembro,2,1/11/2019,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,1.88
AMAZONAS,MANAUS,CENTRO,2020,fevereiro,1,1/2/2020,Aegypti,-60.02029581755031,-3.12973383478406,SUL,iip,0.13
AMAZONAS,MANAUS,CHAPADA,2016,agosto,2,1/8/2016,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,0.34
AMAZONAS,MANAUS,CHAPADA,2017,outubro,2,1/10/2017,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,0.79
AMAZONAS,MANAUS,CHAPADA,2017,fevereiro,1,1/2/2017,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,1.9
AMAZONAS,MANAUS,CHAPADA,2018,outubro,2,1/10/2018,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,1.96
AMAZONAS,MANAUS,CHAPADA,2018,janeiro,1,1/1/2018,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,1.96
AMAZONAS,MANAUS,CHAPADA,2019,fevereiro,1,1/2/2019,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,2.6
AMAZONAS,MANAUS,CHAPADA,2019,novembro,2,1/11/2019,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,0.52
AMAZONAS,MANAUS,CHAPADA,2020,fevereiro,1,1/2/2020,Aegypti,-60.03090193165622,-3.094504996375413,CENTRO-SUL,iip,1.14
